News_content,scores,wordList
publicidad,0.0,['publicidad']
"En la cumbre vaticana sobre los escándalos de abuso eclesiástico a menores, varios asistentes insistieron en discutir sobre la orientación sexual del clero a pesar de que los organizadores señalaron que es erróneo creer que los homosexuales son más propensos a cometer abuso.",0.0,"['en', 'cumbre', 'vaticana', 'sobre', 'los', 'escándalos', 'abuso', 'eclesiástico', 'menores', 'varios', 'asistentes', 'insistieron', 'en', 'discutir', 'sobre', 'orientación', 'sexual', 'del', 'clero', 'pesar', 'que', 'los', 'organizadores', 'señalaron', 'que', 'e', 'erróneo', 'creer', 'que', 'los', 'homosexuales', 'son', 'más', 'propensos', 'cometer', 'abuso']"
"
Por JASON HOROWITZ y ELISABETTA POVOLEDO
",0.0,"['por', 'jason', 'horowitz', 'elisabetta', 'povoledo']"
"En enfrentamientos con el gobierno de Nicolás Maduro, la oposición encabezada por Juan Guaidó logró que un pequeño cargamento de suministros cruzara desde Brasil. En el resto de la frontera los esfuerzos se estancaron. Hay al menos cuatro muertos y decenas de heridos.",0.0,"['en', 'enfrentamientos', 'con', 'el', 'gobierno', 'nicolás', 'maduro', 'oposición', 'encabezada', 'por', 'juan', 'guaidó', 'logró', 'que', 'un', 'pequeño', 'cargamento', 'suministros', 'cruzara', 'desde', 'brasil', 'en', 'el', 'resto', 'frontera', 'los', 'esfuerzos', 'se', 'estancaron', 'hay', 'al', 'menos', 'cuatro', 'muertos', 'decenas', 'heridos']"
"
Por NICHOLAS CASEY, ALBINSON LINARES y ANATOLY KURMANAEV
",0.0,"['por', 'nicholas', 'casey', 'albinson', 'linares', 'anatoly', 'kurmanaev']"
"¿Qué procesos y qué entes misteriosos determinan quién gana el máximo premio de Hollywood cada año? ¿Quién posiblemente ganará este año? Y, por cierto, ¿por qué se llama Oscar? Te explicamos cómo funciona la Academia de Artes y Ciencias Cinematográficas.",0.0,"['procesos', 'qué', 'entes', 'misteriosos', 'determinan', 'quién', 'gana', 'el', 'máximo', 'premio', 'hollywood', 'cada', 'año', 'posiblemente', 'ganará', 'este', 'año', 'por', 'cierto', 'qué', 'se', 'llama', 'oscar', 'te', 'explicamos', 'cómo', 'funciona', 'academia', 'artes', 'ciencias', 'cinematográficas']"
"
Por MARINA FRANCO
",0.0,"['por', 'marina', 'franco']"
"No hay subgénero musical, cinematográfico, teatral o literario que no cuente con su cita anual. No hay tendencia que no tenga su salón, su feria, su fiesta, su nicho de negocio. La fórmula se aplica automáticamente a cualquier lenguaje artístico o afición, al margen de que hacerlo tenga o no sentido.",-0.7096,"['hay', 'subgénero', 'musical', 'cinematográfico', 'teatral', 'literario', 'que', 'cuente', 'con', 'su', 'cita', 'anual', 'hay', 'tendencia', 'que', 'tenga', 'su', 'salón', 'su', 'feria', 'su', 'fiesta', 'su', 'nicho', 'negocio', 'fórmula', 'se', 'aplica', 'automáticamente', 'cualquier', 'lenguaje', 'artístico', 'afición', 'al', 'margen', 'que', 'hacerlo', 'tenga', 'sentido']"
"
Por JORGE CARRIÓN
",0.0,"['por', 'jorge', 'carrión']"
"En los funerales es común decir frases como “No te llamé porque supuse que querías estar sola” o “Al menos ya no está sufriendo”, pero no ayudan e incluso pueden herir a quienes enfrentan una pérdida. Algunos dolientes sugieren qué deberías decir.",-0.5267,"['en', 'los', 'funerales', 'e', 'común', 'decir', 'frases', 'como', 'te', 'llamé', 'porque', 'supuse', 'que', 'querías', 'estar', 'sola', 'al', 'menos', 'ya', 'está', 'sufriendo', 'pero', 'ayudan', 'incluso', 'pueden', 'herir', 'quienes', 'enfrentan', 'una', 'pérdida', 'algunos', 'dolientes', 'sugieren', 'qué', 'deberías', 'decir']"
"Por 
DAVID POGUE

",0.0,"['por', 'david', 'pogue']"
"Desde hace más de un siglo, los científicos debaten la función de su característico estampado; lo han considerado un camuflaje para confundir a depredadores, una señal de identidad para otras cebras y un tipo de aire acondicionado para vestir. Ahora se han valido de caballos con camuflaje para responder.",0.0,"['desde', 'hace', 'más', 'un', 'siglo', 'los', 'científicos', 'debaten', 'función', 'su', 'característico', 'estampado', 'lo', 'han', 'considerado', 'un', 'camuflaje', 'para', 'confundir', 'depredadores', 'una', 'señal', 'identidad', 'para', 'otras', 'cebras', 'un', 'tipo', 'aire', 'acondicionado', 'para', 'vestir', 'ahora', 'se', 'han', 'valido', 'caballos', 'con', 'camuflaje', 'para', 'responder']"
"Por 
JOANNA KLEIN

",0.0,"['por', 'joanna', 'klein']"
"Roma alberga ahora el templo más grande en Europa de la Iglesia de Jesucristo de los Santos de los Últimos Días, el cual está abierto hasta marzo a cualquier persona interesada en recorrerlo antes de su dedicación; ya recibió a cincuenta mil visitantes.",0.0,"['rom', 'alberga', 'ahora', 'el', 'templo', 'más', 'grande', 'en', 'europa', 'iglesia', 'jesucristo', 'los', 'santos', 'los', 'últimos', 'días', 'el', 'cual', 'está', 'abierto', 'hasta', 'marzo', 'cualquier', 'persona', 'interesada', 'en', 'recorrerlo', 'ante', 'su', 'dedicación', 'ya', 'recibió', 'cincuenta', 'mil', 'visitantes']"
"Por 
ELISABETTA POVOLEDO

",0.0,"['por', 'elisabetta', 'povoledo']"
Los líderes del movimiento independentista catalán comenzaron a desfilar por el Tribunal Supremo de España para enfrentar cargos que incluyen rebelión y desacato a órdenes judiciales.,0.4404,"['los', 'líderes', 'del', 'movimiento', 'independentista', 'catalán', 'comenzaron', 'desfilar', 'por', 'el', 'tribunal', 'supremo', 'españa', 'para', 'enfrentar', 'cargo', 'que', 'incluyen', 'rebelión', 'desacato', 'órdenes', 'judiciales']"
"Por 
PATRICK CHAPPATTE

",0.0,"['por', 'patrick', 'chappatte']"
El edificio donde el narcotraficante vivió hasta 1988 fue demolido en Medellín después de más de tres décadas de estar abandonado. En el lugar se construirá un parque en honor a las víctimas del cartel.,0.4939,"['el', 'edificio', 'donde', 'el', 'narcotraficante', 'vivió', 'hasta', 'fue', 'demolido', 'en', 'medellín', 'después', 'más', 'tres', 'décadas', 'estar', 'abandonado', 'en', 'el', 'lugar', 'se', 'construirá', 'un', 'parque', 'en', 'honor', 'la', 'víctimas', 'del', 'cartel']"
"Por 
MEGAN SPECIA

",0.0,"['por', 'megan', 'specia']"
"La oposición ha prometido entregar los alimentos y medicinas a partir del sábado, pero el gobierno se niega a permitir el paso. Los pacientes cuyas vidas dependen de recibir ayuda pronto se sienten olvidados en medio de la lucha.",0.34,"['oposición', 'ha', 'prometido', 'entregar', 'los', 'alimentos', 'medicinas', 'partir', 'del', 'sábado', 'pero', 'el', 'gobierno', 'se', 'niega', 'permitir', 'el', 'paso', 'los', 'pacientes', 'cuyas', 'vidas', 'dependen', 'recibir', 'ayuda', 'pronto', 'se', 'sienten', 'olvidados', 'en', 'medio', 'lucha']"
"Por 
ANATOLY KURMANAEV

 y 
ISAYEN HERRERA

",0.0,"['por', 'anatoly', 'kurmanaev', 'isayen', 'herrera']"
"Nicolás Maduro desplegó militares a la frontera con Colombia para evitar que la ayuda humanitaria que envió Estados Unidos llegue a su país. La tensión aumenta en las calles de Cúcuta, Colombia, donde todo parece encaminarse a una confrontación.",0.0,"['nicolás', 'maduro', 'desplegó', 'militares', 'frontera', 'con', 'colombia', 'para', 'evitar', 'que', 'ayuda', 'humanitaria', 'que', 'envió', 'estados', 'unidos', 'llegue', 'su', 'país', 'tensión', 'aumenta', 'en', 'la', 'calles', 'cúcuta', 'colombia', 'donde', 'todo', 'parece', 'encaminarse', 'una', 'confrontación']"
"Por 
BRENT MCDONALD

, 
EMILY RHYNE

 y 
ORLANDO DE GUZMÁN

",0.0,"['por', 'brent', 'mcdonald', 'emily', 'rhyne', 'orlando', 'guzmán']"
"Galerías de arte vanguardistas, restaurantes de primera y tiendas contemporáneas elegantes, además del multiculturalismo que ofrecen la Pequeña Haití y la Pequeña Habana, están entre algunos de los atractivos de Miami.",0.0,"['galerías', 'arte', 'vanguardistas', 'restaurantes', 'primera', 'tiendas', 'contemporáneas', 'elegantes', 'además', 'del', 'multiculturalismo', 'que', 'ofrecen', 'pequeña', 'haití', 'pequeña', 'habana', 'están', 'entre', 'algunos', 'los', 'atractivos', 'miami']"
"Por 
BRETT SOKOL

",0.0,"['por', 'brett', 'sokol']"
